
Trabaja	B-PROFESION
incesantemente	I-PROFESION
en	I-PROFESION
el	I-PROFESION
restaurante	I-PROFESION
más	O
de	O
16	O
horas	O
al	O
día	O
,	O
no	O
tiene	O
día	O
de	O
descanso	O
,	O
y	O
afirma	O
que	O
está	O
a	O
punto	O
de	O
convertir	O
su	O
negocio	O
en	O
un	O
restaurante	O
de	O
referencia	O
en	O
Europa	O
.	O
Durante	O
la	O
entrevista	O
se	O
observó	O
que	O
Álvaro	O
está	O
muy	O
preocupado	O
por	O
una	O
conspiración	O
que	O
hay	O
en	O
su	O
contra	O
con	O
el	O
objetivo	O
de	O
destruir	O
su	O
negocio	O
.	O
