"filename"	"text"	"span"	"code"
"caso_clinico_psiquiatria95"	"haber dejado el ejército"	"2562 2586"	"SCTID: 73438004"
"caso_clinico_psiquiatria23"	"le ha llevado a despedirse"	"2127 2153"	"SCTID: 73438004"
"caso_clinico_psiquiatria20"	"fue despedido"	"2247 2260"	"SCTID: 73438004"
"caso_clinico_psiquiatria20"	"dejar ese trabajo"	"1709 1726"	"SCTID: 73438004"
"caso_clinico_psiquiatria10"	"no trabaja"	"267 277"	"SCTID: 73438004"
"caso_clinico_psiquiatria17"	"en paro"	"117 124"	"SCTID: 73438004"
"caso_clinico_psiquiatria17"	"cobra subsidio de desempleo"	"173 200"	"SCTID: 73438004"
"caso_clinico_psiquiatria17"	"despedido"	"134 143"	"SCTID: 73438004"
"caso_clinico_psiquiatria17"	"he perdido el trabajo"	"394 415"	"SCTID: 73438004"
"caso_clinico_psiquiatria16"	"en paro"	"1086 1093"	"SCTID: 73438004"
"caso_clinico_psiquiatria18"	"no trabaja"	"82 92"	"SCTID: 73438004"
"caso_clinico_psiquiatria107"	"en situación de desempleo"	"1171 1196"	"SCTID: 73438004"
"caso_clinico_psiquiatria13"	"en paro"	"5055 5062"	"SCTID: 73438004"
"caso_clinico_psiquiatria44"	"dejar su trabajo"	"3146 3162"	"SCTID: 73438004"
"caso_clinico_psiquiatria65"	"no trabajó"	"3112 3122"	"SCTID: 73438004"
"caso_clinico_psiquiatria114"	"abandono trabajo"	"641 657"	"SCTID: 73438004"
"caso_clinico_psiquiatria77"	"abandona su profesión"	"2174 2195"	"SCTID: 73438004"
"caso_clinico_psiquiatria77"	"Dejar su trabajo"	"7117 7133"	"SCTID: 73438004"
"caso_clinico_psiquiatria112"	"No trabaja"	"2126 2136"	"SCTID: 73438004"
"caso_clinico_psiquiatria112"	"No tiene ocupación laboral"	"2700 2726"	"SCTID: 73438004"
"caso_clinico_psiquiatria60"	"en paro"	"228 235"	"SCTID: 73438004"
"caso_clinico_psiquiatria60"	"no trabaja"	"2717 2727"	"SCTID: 73438004"
"caso_clinico_psiquiatria131"	"en paro"	"2041 2048"	"SCTID: 73438004"
"caso_clinico_psiquiatria30"	"en paro"	"215 222"	"SCTID: 73438004"
"caso_clinico_psiquiatria46"	"no ha tenido otro empleo"	"3273 3297"	"SCTID: 73438004"
"caso_clinico_psiquiatria110"	"En desempleo"	"484 496"	"SCTID: 73438004"
"caso_clinico_psiquiatria57"	"en paro"	"1454 1461"	"SCTID: 73438004"
"caso_clinico_psiquiatria7"	"despido"	"303 310"	"SCTID: 73438004"
"caso_clinico_psiquiatria35"	"abandona su empleo"	"1362 1380"	"SCTID: 73438004"
"caso_clinico_psiquiatria45"	"desempleado"	"82 93"	"SCTID: 73438004"
"caso_clinico_psiquiatria119"	"Desempleada"	"1489 1500"	"SCTID: 73438004"
"caso_clinico_psiquiatria59"	"perdió su trabajo"	"464 481"	"SCTID: 73438004"
"caso_clinico_psiquiatria88"	"desempleado"	"969 980"	"SCTID: 73438004"
"caso_clinico_psiquiatria40"	"había abandonado su oficio"	"1868 1894"	"SCTID: 73438004"
"caso_clinico_psiquiatria61"	"No trabaja"	"427 437"	"SCTID: 73438004"
"caso_clinico_psiquiatria61"	"no trabaja"	"3310 3320"	"SCTID: 73438004"
"caso_clinico_psiquiatria36"	"en paro"	"308 315"	"SCTID: 73438004"
"caso_clinico_psiquiatria53"	"no trabaja"	"7474 7484"	"SCTID: 73438004"
"caso_clinico_psiquiatria286"	"pérdida del empleo"	"4225 4243"	"SCTID: 73438004"
"caso_clinico_psiquiatria452"	"desempleado"	"1085 1096"	"SCTID: 73438004"
"caso_clinico_psiquiatria456"	"ninguna actividad laboral"	"1573 1598"	"SCTID: 73438004"
"caso_clinico_psiquiatria298"	"sin trabajo"	"248 259"	"SCTID: 73438004"
"caso_clinico_psiquiatria416"	"Sin actividad laboral"	"852 873"	"SCTID: 73438004"
"caso_clinico_psiquiatria317"	"en paro"	"322 329"	"SCTID: 73438004"
"caso_clinico_psiquiatria470"	"en paro"	"578 585"	"SCTID: 73438004"
"caso_clinico_psiquiatria145"	"en paro"	"350 357"	"SCTID: 73438004"
"caso_clinico_psiquiatria368"	"desempleado"	"1132 1143"	"SCTID: 73438004"
"caso_clinico_psiquiatria368"	"ni tiene trabajo"	"3497 3513"	"SCTID: 73438004"
"caso_clinico_psiquiatria545"	"ni trabaja"	"2178 2188"	"SCTID: 73438004"
"caso_clinico_psiquiatria219"	"mantiene una situación de desempleo"	"484 519"	"SCTID: 73438004"
"caso_clinico_psiquiatria413"	"sin trabajo fijo"	"276 292"	"SCTID: 73438004"
"caso_clinico_psiquiatria179"	"desempleado"	"600 611"	"SCTID: 73438004"
"caso_clinico_psiquiatria485"	"nunca ha tenido empleo remunerado"	"313 346"	"SCTID: 73438004"
"caso_clinico_psiquiatria166"	"dejó de trabajar"	"751 767"	"SCTID: 73438004"
"caso_clinico_psiquiatria166"	"desempleo"	"973 982"	"SCTID: 73438004"
"caso_clinico_psiquiatria414"	"no desempeñaba ninguna actividad laboral"	"976 1016"	"SCTID: 73438004"
"caso_clinico_psiquiatria296"	"despedida de distintos trabajos"	"3987 4018"	"SCTID: 73438004"
"caso_clinico_psiquiatria296"	"desempleo"	"8978 8987"	"SCTID: 73438004"
"caso_clinico_psiquiatria156"	"no trabaja"	"127 137"	"SCTID: 73438004"
